rating,reviews,amenities,price,country,bathrooms,beds,guests,toiles,bedrooms,studios,latitude,longitude
0.0,0.0,"Lake view,Mountain view,Waterfront,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Pets allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",15975, India,4,3,7,0,3,0,18.7618607,73.4038888
0.0,1.0,"Mountain view,Garden view,Kitchen,Wifi,Free parking on premises,Pool,Private hot tub,Pets allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",14049, Turkey,1,1,4,0,1,0,40.6930538,30.27344
0.0,0.0,"Garden view,Mountain view,Lake access,Kitchen,Wifi,Free on-street parking,Pool,HDTV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",17611, Turkey,1,2,5,0,2,0,40.6930538,30.27344
4.68,241.0,"Resort view,Ocean view,Beach access – Beachfront,Kitchen,Wifi,Free parking on premises,Pets allowed,32"" TV,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",13010, Japan,1,7,9,0,3,0,26.4974839,127.8534254
4.83,41.0,"Pets allowed,Indoor fireplace,Smoking allowed,Long-term stays allowed,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4059, Philippines,1,2,4,0,1,0,11.9985507,120.2051611
5.0,10.0,"Kitchen,Wifi,Free parking on premises,Pets allowed,TV,AC – split-type ductless system,Garden,Indoor fireplace: wood-burning,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",6774, Turkey,1,1,4,0,1,0,40.7454357,30.0112827
0.0,2.0,"Garden view,Mountain view,Lake access,Kitchen,Wifi,Free parking on premises,Private hot tub,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",10035, Turkey,1,2,3,0,1,0,40.6930538,30.27344
4.68,25.0,"Garden view,Lake view,Public or shared beach access – Beachfront,Kitchen,Wifi,Free parking on premises,Washing machine,Central air conditioning,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",8135, Philippines,1,2,5,0,2,0,14.596782,120.3923303
4.8,61.0,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,Washing machine,Garden,Luggage drop-off allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",1712, India,2,1,2,0,1,0,12.00549,79.80885
4.68,154.0,"Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Washing machine,Free dryer – In building,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",8767, Philippines,3,8,10,0,3,0,16.4119905,120.5933719
0.0,0.0,"Wifi,Free parking on premises,Shared backyard – Fully fenced,Luggage drop-off allowed,Fire pit,Breakfast,Long-term stays allowed,Security cameras on property,Unavailable: Carbon monoxide alarmCarbon monoxide alarm",2352, Philippines,0,1,2,1,1,0,17.7422338,120.4583071
0.0,1.0,"Lake access,Kitchen,Wifi,Dedicated workspace,Free on-street parking,Shared outdoor pool,Private hot tub,TV,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",22436, Turkey,1,1,2,0,1,0,40.6627046,30.2766474
4.82,44.0,"Mountain view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Free washer – In unit,Patio or balcony,Garden",6372, Georgia,1,2,4,0,1,0,41.8386946,43.3791739
0.0,1.0,"Valley view,Garden view,Lake access,Ski-in/ski-out – On a ski run,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pool,Private hot tub – available all year, open 24 hours",19147, Turkey,1,2,4,0,1,0,40.6930538,30.27344
4.69,13.0,"Mountain view,Valley view,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Paid washer – In building,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",8028, Turkey,1,6,3,0,0,0,41.0475214,40.8987978
0.0,0.0,"Beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV with standard cable/satellite,Washing machine,Air conditioning,Bath",12590, Japan,1,6,8,0,3,0,26.4974839,127.8534254
4.89,19.0,"Kitchen,Wifi,Free parking on premises,Private hot tub,Pets allowed,AC – split-type ductless system,Patio or balcony,Private backyard – Fully fenced,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",2820, Turkey,1,0,2,0,0,0,36.8726128,30.6503649
0.0,0.0,"City skyline view,Garden view,Kitchen,Wifi,Free parking on premises,HDTV with Chromecast,Air conditioning,Bath,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",6839, Lebanon,1,4,4,0,2,0,33.8532656,35.568935
4.58,58.0,"Garden view,Beach access,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,32"" TV with Netflix,Free washer – In building,Security cameras on property",6528, Japan,1,4,8,0,3,0,26.4974839,127.8534254
4.87,137.0,"Wifi,Free parking on premises,Hot tub,TV with standard cable/satellite,Washing machine,Air conditioning,Shared garden,Hair dryer,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",9028, Taiwan,1,2,4,0,1,0,23.7265482,120.7030736
5.0,3.0,"Mountain view,Garden view,Kitchen,Dedicated workspace,Free parking on premises,Free dryer – In unit,Hair dryer,Fire pit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",4265, Turkey,1,2,4,0,1,0,37.0196402,34.2915948
5.0,3.0,"Mountain view,Resort view,Lake access,Wifi – 47 Mbps,Dedicated workspace,Free parking on premises,Pets allowed,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",3652, India,1,2,2,0,1,0,29.3506056,79.5541717
0.0,1.0,"Sea view,Beach access – Beachfront,Kitchen,Wifi,Dedicated workspace,Shared outdoor pool,TV with standard cable/satellite,Free washer – In unit,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",12369, Turkey,1,2,4,0,2,0,36.2758726,29.3182283
5.0,3.0,"Valley view,Mountain view,Waterfront,Kitchen,Dedicated workspace,Free parking on premises,Pets allowed,Private patio or balcony,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",12751, Turkey,1,3,5,0,1,0,40.913963,40.797657
5.0,7.0,"Kitchen,Wifi,Dedicated workspace,Free parking on premises,Private pool,Private hot tub,TV,Washing machine,Unavailable: Carbon monoxide alarmCarbon monoxide alarm,Unavailable: Smoke alarmSmoke alarm",10684, Turkey,2,2,6,0,2,0,36.1993752,29.6413365
